2021-09-22 00:53:59 UTC Syncing #13272469 0xbe79…50c0     0.34 blk/s   46.9 tx/s    4.6 Mgas/s      0+   16 Qed Ancient:#5613694 LI:#13272486   17/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:53:59 UTC Syncing #13272467 0xfda1…318b     0.27 blk/s   84.9 tx/s    8.0 Mgas/s      0+   18 Qed Ancient:#5613692 LI:#13272486   17/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:05 UTC Syncing #13272469 0xbe79…50c0     0.20 blk/s    9.3 tx/s    1.0 Mgas/s      0+   17 Qed Ancient:#5613694 LI:#13272487   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:05 UTC Syncing #13272469 0xbe79…50c0     0.40 blk/s   18.6 tx/s    2.0 Mgas/s      0+   17 Qed Ancient:#5613694 LI:#13272487   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:14 UTC Syncing #13272469 0xbe79…50c0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5613694 LI:#13272487   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:15 UTC Syncing #13272469 0xbe79…50c0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5613694 LI:#13272488   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:25 UTC Syncing #13272470 0x4099…c1ae     0.20 blk/s   62.2 tx/s    4.8 Mgas/s      0+   18 Qed Ancient:#5613695 LI:#13272489   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:25 UTC Syncing #13272472 0x81b0…3b85     0.30 blk/s   43.3 tx/s    3.3 Mgas/s      0+   16 Qed Ancient:#5613697 LI:#13272489   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:31 UTC Syncing #13272472 0x81b0…3b85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5613697 LI:#13272490   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:34 UTC Syncing #13272472 0x81b0…3b85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5613697 LI:#13272491   11/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:39 UTC Syncing #13272472 0x81b0…3b85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5613697 LI:#13272491   11/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:50 UTC Syncing #13272473 0x8d61…96d7     0.10 blk/s   21.6 tx/s    1.7 Mgas/s      0+   17 Qed Ancient:#5613698 LI:#13272491   11/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:50 UTC Syncing #13272473 0x8d61…96d7     0.20 blk/s   43.2 tx/s    3.4 Mgas/s      0+   17 Qed Ancient:#5613698 LI:#13272491   11/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:55 UTC Syncing #13272473 0x8d61…96d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5613698 LI:#13272491   11/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:54:59 UTC Syncing #13272473 0x8d61…96d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5613698 LI:#13272491   12/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:55:13 UTC Syncing #13272474 0x2ec6…5ce3     0.20 blk/s   54.6 tx/s    4.2 Mgas/s      0+   16 Qed Ancient:#5613699 LI:#13272491   13/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:55:13 UTC Syncing #13272475 0x5dda…7d45     0.20 blk/s   35.1 tx/s    2.7 Mgas/s      0+   15 Qed Ancient:#5613700 LI:#13272491   13/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
