2021-09-22 04:09:11 UTC Syncing #13273303 0x4f20…632f     0.10 blk/s   34.5 tx/s    3.0 Mgas/s      0+   46 Qed Ancient:#5699186 LI:#13273348   10/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:11 UTC Syncing #13273303 0x4f20…632f     0.20 blk/s   69.0 tx/s    6.0 Mgas/s      0+   46 Qed Ancient:#5699186 LI:#13273348   10/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:17 UTC Syncing #13273303 0x4f20…632f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#5699186 LI:#13273348   12/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:30 UTC Syncing #13273304 0xbb8f…c5f4     0.10 blk/s   20.7 tx/s    2.9 Mgas/s      0+   45 Qed Ancient:#5699187 LI:#13273348   14/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:30 UTC Syncing #13273303 0x4f20…632f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#5699186 LI:#13273348   14/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:38 UTC Syncing #13273304 0xbb8f…c5f4     0.20 blk/s   41.4 tx/s    5.7 Mgas/s      0+   45 Qed Ancient:#5699187 LI:#13273348   13/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:38 UTC Syncing #13273306 0x8004…b587     0.30 blk/s   32.5 tx/s    4.7 Mgas/s      0+   43 Qed Ancient:#5699189 LI:#13273348   13/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:45 UTC Syncing #13273306 0x8004…b587     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#5699189 LI:#13273350   13/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:46 UTC Syncing #13273306 0x8004…b587     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#5699189 LI:#13273350   13/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:51 UTC Syncing #13273306 0x8004…b587     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#5699189 LI:#13273350   12/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
