2021-09-21 23:50:11 UTC Syncing #13272190 0x3d94…f6d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5582935 LI:#13272203    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:16 UTC Syncing #13272190 0x3d94…f6d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5582935 LI:#13272203    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:23 UTC Syncing #13272190 0x3d94…f6d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5582935 LI:#13272206    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:27 UTC Syncing #13272191 0x4986…b88c     0.20 blk/s   66.2 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#5582936 LI:#13272206    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:33 UTC Syncing #13272191 0x4986…b88c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5582936 LI:#13272207    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:36 UTC Syncing #13272191 0x4986…b88c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5582936 LI:#13272208    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:45 UTC Syncing #13272191 0x4986…b88c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5582936 LI:#13272208    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:46 UTC Syncing #13272191 0x4986…b88c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5582936 LI:#13272209    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:51 UTC Syncing #13272192 0x70b5…c570     0.19 blk/s   52.2 tx/s    5.8 Mgas/s      0+   18 Qed Ancient:#5582937 LI:#13272210    7/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:08 UTC Syncing #13272193 0x379f…248b     0.06 blk/s    4.2 tx/s    0.6 Mgas/s      0+   19 Qed Ancient:#5583250 LI:#13272212    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
