2021-09-22 03:33:40 UTC Syncing #13273160 0x9bf0…b33e     0.20 blk/s   11.6 tx/s    1.0 Mgas/s      0+   11 Qed Ancient:#5681461 LI:#13273171   26/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:45 UTC Syncing #13273160 0x9bf0…b33e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681461 LI:#13273172   24/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:51 UTC Syncing #13273161 0xe6c5…88d3     0.20 blk/s   40.4 tx/s    3.4 Mgas/s      0+   11 Qed Ancient:#5681463 LI:#13273172   26/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:59 UTC Syncing #13273163 0x4173…d983     0.60 blk/s   47.8 tx/s    4.0 Mgas/s      0+    8 Qed Ancient:#5681466 LI:#13273172   27/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:00 UTC Syncing #13273163 0x4173…d983     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5681466 LI:#13273172   26/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:05 UTC Syncing #13273163 0x4173…d983     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5681466 LI:#13273173   26/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:10 UTC Syncing #13273163 0x4173…d983     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5681466 LI:#13273174   26/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:26 UTC Syncing #13273164 0x0b31…b63b     0.10 blk/s   40.7 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#5681467 LI:#13273176   24/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:26 UTC Syncing #13273164 0x0b31…b63b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5681467 LI:#13273176   24/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:26 UTC Syncing #13273163 0x4173…d983     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681466 LI:#13273176   24/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
