2021-09-21 23:19:52 UTC Syncing #13272049 0x6795…bda9     0.20 blk/s   41.6 tx/s    2.9 Mgas/s      0+   22 Qed Ancient:#5565374 LI:#13272072    6/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:59 UTC Syncing #13272050 0x7015…397a     0.20 blk/s   20.0 tx/s    2.0 Mgas/s      0+   21 Qed Ancient:#5565375 LI:#13272072    7/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:20:01 UTC Syncing #13272050 0x7015…397a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5565375 LI:#13272073    6/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:20:09 UTC Syncing #13272051 0x0a0a…d8fb     0.20 blk/s   40.4 tx/s    3.5 Mgas/s      0+   21 Qed Ancient:#5565377 LI:#13272073    5/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:20:16 UTC Syncing #13272052 0xb9e8…2618     0.20 blk/s   21.0 tx/s    1.4 Mgas/s      0+   20 Qed Ancient:#5565378 LI:#13272073    5/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:20:16 UTC Syncing #13272052 0xb9e8…2618     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565378 LI:#13272073    5/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:20:23 UTC Syncing #13272052 0xb9e8…2618     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565378 LI:#13272073    7/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:20:26 UTC Syncing #13272052 0xb9e8…2618     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565378 LI:#13272073   10/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:20:43 UTC Syncing #13272054 0x2335…b9a4     0.12 blk/s   20.4 tx/s    1.9 Mgas/s      0+   19 Qed Ancient:#5565380 LI:#13272073   12/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:20:54 UTC Syncing #13272054 0x2335…b9a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5565739 LI:#13272073   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:21:03 UTC Syncing #13272055 0x43a2…bf3a     0.26 blk/s   16.0 tx/s    2.0 Mgas/s      0+   18 Qed Ancient:#5565742 LI:#13272073   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:21:08 UTC Syncing #13272055 0x43a2…bf3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5566505 LI:#13272073   11/25 peers      5 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:21:08 UTC Syncing #13272055 0x43a2…bf3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5567157 LI:#13272074   10/25 peers   432 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:21:31 UTC Syncing #13272055 0x43a2…bf3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5567158 LI:#13272075    6/25 peers    109 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:21:31 UTC Syncing #13272057 0xd909…4bca     0.10 blk/s   11.2 tx/s    1.4 Mgas/s      0+   18 Qed Ancient:#5567380 LI:#13272077    6/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:21:31 UTC Syncing #13272057 0xd909…4bca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5567383 LI:#13272077    6/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:21:31 UTC Syncing #13272057 0xd909…4bca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5567381 LI:#13272077    6/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
